,年度次,ID,都道府县,市町村,現年課税,人口数量,人均烟税
785,2015年度,09-303,,上河内町,,,
786,2015年度,09-304,,河内町,,,
787,2015年度,09-321,,西方町,,,
788,2015年度,09-322,,粟野町,,,
789,2015年度,09-323,,足尾町,,,
790,2015年度,09-341,,二宮町,,,
791,2015年度,09-342,栃木県,益子町,147117.0,23281.0,6.319187320132297
792,2015年度,09-343,栃木県,茂木町,58780.0,13188.0,4.457082195935699
793,2015年度,09-344,栃木県,市貝町,70350.0,11720.0,6.002559726962457
794,2015年度,09-345,栃木県,芳賀町,123045.0,15189.0,8.100928303377444
795,2015年度,09-361,栃木県,壬生町,268326.0,39951.0,6.716377562514079
796,2015年度,09-362,,石橋町,,,
797,2015年度,09-363,,国分寺町,,,
798,2015年度,09-364,栃木県,野木町,161673.0,25292.0,6.3922584216353
799,2015年度,09-365,,大平町,,,
800,2015年度,09-366,,藤岡町,,,
801,2015年度,09-367,,岩舟町,,,
802,2015年度,09-368,,都賀町,,,
803,2015年度,09-382,,栗山村,,,
804,2015年度,09-383,,藤原町,,,
805,2015年度,09-384,栃木県,塩谷町,79366.0,11495.0,6.904393214441061
806,2015年度,09-385,,氏家町,,,
807,2015年度,09-386,栃木県,高根沢町,212846.0,29639.0,7.181281419751004
808,2015年度,09-387,,喜連川町,,,
809,2015年度,09-401,,南那須町,,,
810,2015年度,09-402,,烏山町,,,
811,2015年度,09-403,,馬頭町,,,
812,2015年度,09-404,,小川町,,,
813,2015年度,09-405,,湯津上村,,,
814,2015年度,09-406,,黒羽町,,,
815,2015年度,09-407,栃木県,那須町,193281.0,24919.0,7.7563706408764395
816,2015年度,09-409,,西那須野町,,,
817,2015年度,09-410,,塩原町,,,
818,2015年度,09-411,栃木県,那珂川町,124686.0,16964.0,7.350035369016742
819,2015年度,09-421,,田沼町,,,
820,2015年度,09-422,,葛生町,,,
821,2015年度,10-201,群馬県,前橋市,2377578.0,336154.0,7.072883261838324
822,2015年度,10-202,群馬県,高崎市,2648448.0,370884.0,7.140906590739962
823,2015年度,10-203,群馬県,桐生市,659666.0,114714.0,5.750527398573844
824,2015年度,10-204,群馬県,伊勢崎市,1746693.0,208814.0,8.36482707098183
825,2015年度,10-205,群馬県,太田市,1950733.0,219807.0,8.87475376125419
826,2015年度,10-206,群馬県,沼田市,480548.0,48676.0,9.872380639329444
827,2015年度,10-207,群馬県,館林市,653539.0,76667.0,8.524384676588364
828,2015年度,10-208,群馬県,渋川市,601864.0,78391.0,7.677718105394752
829,2015年度,10-209,群馬県,藤岡市,464815.0,65708.0,7.073948377670908
830,2015年度,10-210,群馬県,富岡市,318157.0,49746.0,6.395629799380854
831,2015年度,10-211,群馬県,安中市,399105.0,58531.0,6.818694367087526
832,2015年度,10-212,群馬県,みどり市,473164.0,50906.0,9.294857187757827
833,2015年度,10-301,,北橘村,,,
834,2015年度,10-302,,赤城村,,,
835,2015年度,10-303,,富士見村,,,
836,2015年度,10-304,,大胡町,,,
837,2015年度,10-305,,宮城村,,,
838,2015年度,10-306,,粕川村,,,
839,2015年度,10-307,,新里村,,,
840,2015年度,10-308,,黒保根村,,,
841,2015年度,10-309,,東村,,,
842,2015年度,10-321,,榛名町,,,
843,2015年度,10-322,,倉渕村,,,
844,2015年度,10-323,,箕郷町,,,
845,2015年度,10-324,,群馬町,,,
846,2015年度,10-341,,子持村,,,
847,2015年度,10-342,,小野上村,,,
848,2015年度,10-343,,伊香保町,,,
849,2015年度,10-344,群馬県,榛東村,77063.0,14329.0,5.378114313629702
850,2015年度,10-345,群馬県,吉岡町,173165.0,21080.0,8.21465844402277
851,2015年度,10-361,,新町,,,
852,2015年度,10-362,,鬼石町,,,
853,2015年度,10-363,,吉井町,,,
854,2015年度,10-364,,万場町,,,
855,2015年度,10-365,,中里村,,,
856,2015年度,10-366,群馬県,上野村,5316.0,1230.0,4.321951219512195
857,2015年度,10-367,群馬県,神流町,6650.0,1954.0,3.4032753326509724
858,2015年度,10-381,,妙義町,,,
859,2015年度,10-382,群馬県,下仁田町,51556.0,7564.0,6.815970386039132
860,2015年度,10-383,群馬県,南牧村,4102.0,1979.0,2.0727640222334514
861,2015年度,10-384,群馬県,甘楽町,64698.0,13200.0,4.901363636363636
862,2015年度,10-401,,松井田町,,,
863,2015年度,10-421,群馬県,中之条町,108535.0,16850.0,6.441246290801187
864,2015年度,10-422,,東村,,,
865,2015年度,10-423,,吾妻町,,,
866,2015年度,10-424,群馬県,長野原町,56984.0,5536.0,10.29335260115607
867,2015年度,10-425,群馬県,嬬恋村,64975.0,9780.0,6.643660531697342
868,2015年度,10-426,群馬県,草津町,77751.0,6518.0,11.928659097882786
869,2015年度,10-427,,六合村,,,
870,2015年度,10-428,群馬県,高山村,15519.0,3674.0,4.224006532389766
871,2015年度,10-429,群馬県,東吾妻町,97840.0,14033.0,6.972137105394427
872,2015年度,10-441,,白沢村,,,
873,2015年度,10-442,,利根村,,,
874,2015年度,10-443,群馬県,片品村,36660.0,4390.0,8.350797266514807
875,2015年度,10-444,群馬県,川場村,15998.0,3647.0,4.3866191390183715
876,2015年度,10-445,,月夜野町,,,
877,2015年度,10-446,,水上町,,,
878,2015年度,10-447,,新治村,,,
879,2015年度,10-448,群馬県,昭和村,41543.0,7347.0,5.654416768749149
880,2015年度,10-449,群馬県,みなかみ町,134467.0,19347.0,6.950276528660774
881,2015年度,10-461,,赤堀町,,,
882,2015年度,10-462,,東村,,,
883,2015年度,10-463,,境町,,,
884,2015年度,10-464,群馬県,玉村町,211825.0,36654.0,5.7790418508211925
885,2015年度,10-481,,尾島町,,,
886,2015年度,10-482,,新田町,,,
887,2015年度,10-483,,藪塚本町,,,
888,2015年度,10-484,,笠懸町,,,
889,2015年度,10-501,,大間々町,,,
890,2015年度,10-521,群馬県,板倉町,90366.0,15015.0,6.018381618381619
891,2015年度,10-522,群馬県,明和町,69461.0,11044.0,6.2894784498370155
892,2015年度,10-523,群馬県,千代田町,96731.0,11318.0,8.546651351828945
893,2015年度,10-524,群馬県,大泉町,377023.0,41202.0,9.150599485461871
894,2015年度,10-525,群馬県,邑楽町,205084.0,26426.0,7.76069022931961
895,2015年度,11-100,埼玉県,さいたま市,8157915.0,1263979.0,6.4541539060379955
896,2015年度,11-201,埼玉県,川越市,2231007.0,350745.0,6.3607663687294185
897,2015年度,11-202,埼玉県,熊谷市,1542029.0,198742.0,7.758948787875738
898,2015年度,11-203,埼玉県,川口市,4211879.0,578112.0,7.285576151333998
899,2015年度,11-204,,浦和市,,,
900,2015年度,11-205,,大宮市,,,
901,2015年度,11-206,埼玉県,行田市,547959.0,82113.0,6.673230791713857
902,2015年度,11-207,埼玉県,秩父市,407827.0,63555.0,6.416914483518212
903,2015年度,11-208,埼玉県,所沢市,2037307.0,340386.0,5.985284353645567
904,2015年度,11-209,埼玉県,飯能市,473573.0,80715.0,5.86722418385678
905,2015年度,11-210,埼玉県,加須市,810625.0,112229.0,7.222954851241657
906,2015年度,11-211,埼玉県,本庄市,644257.0,77881.0,8.272325727712792
907,2015年度,11-212,埼玉県,東松山市,660946.0,91437.0,7.228430504062906
908,2015年度,11-213,,岩槻市,,,
909,2015年度,11-214,埼玉県,春日部市,1567689.0,232709.0,6.736692607505511
910,2015年度,11-215,埼玉県,狭山市,1016663.0,152405.0,6.670798202158722
911,2015年度,11-216,埼玉県,羽生市,413453.0,54874.0,7.534588329627875
912,2015年度,11-217,埼玉県,鴻巣市,622336.0,118072.0,5.270817806084423
913,2015年度,11-218,埼玉県,深谷市,1070636.0,143811.0,7.444743447997719
914,2015年度,11-219,埼玉県,上尾市,1327453.0,225196.0,5.894656210589886
915,2015年度,11-220,,与野市,,,
916,2015年度,11-221,埼玉県,草加市,1869010.0,247034.0,7.565800659018596
917,2015年度,11-222,埼玉県,越谷市,2426678.0,337498.0,7.19019964562753
918,2015年度,11-223,埼玉県,蕨市,604347.0,72260.0,8.363506781068365
919,2015年度,11-224,埼玉県,戸田市,1036302.0,136150.0,7.61147264047007
920,2015年度,11-225,埼玉県,入間市,893067.0,148390.0,6.018377249140777
921,2015年度,11-226,,鳩ケ谷市,,,
922,2015年度,11-227,埼玉県,朝霞市,851344.0,136299.0,6.246150008437333
923,2015年度,11-228,埼玉県,志木市,335397.0,72676.0,4.614962298420386
924,2015年度,11-229,埼玉県,和光市,511227.0,80826.0,6.325031549253953
925,2015年度,11-230,埼玉県,新座市,1085340.0,162122.0,6.69458802630118
926,2015年度,11-231,埼玉県,桶川市,439915.0,73936.0,5.949943194113828
927,2015年度,11-232,埼玉県,久喜市,1047311.0,152311.0,6.8761350132295105
928,2015年度,11-233,埼玉県,北本市,423013.0,67409.0,6.275319319378718
929,2015年度,11-234,埼玉県,八潮市,811921.0,86717.0,9.362881557249443
930,2015年度,11-235,埼玉県,富士見市,754100.0,108102.0,6.975819133781059
931,2015年度,11-236,,上福岡市,,,
932,2015年度,11-237,埼玉県,三郷市,1503609.0,136521.0,11.013756125431252
933,2015年度,11-238,埼玉県,蓮田市,385266.0,62380.0,6.176114139147162
934,2015年度,11-239,埼玉県,坂戸市,619594.0,101679.0,6.09362798611316
935,2015年度,11-240,埼玉県,幸手市,392775.0,52524.0,7.478010052547407
936,2015年度,11-241,埼玉県,鶴ヶ島市,487143.0,70255.0,6.9339264109316066
937,2015年度,11-242,埼玉県,日高市,375728.0,56520.0,6.647699929228591
938,2015年度,11-243,埼玉県,吉川市,500477.0,69738.0,7.176532163239553
939,2015年度,11-245,埼玉県,ふじみ野市,631649.0,110970.0,5.692069928809588
940,2015年度,11-246,埼玉県,白岡市,289086.0,51535.0,5.609508101290385
941,2015年度,11-301,埼玉県,伊奈町,255440.0,44442.0,5.747716124386841
942,2015年度,11-304,,吹上町,,,
943,2015年度,11-322,,大井町,,,
944,2015年度,11-324,埼玉県,三芳町,344032.0,38456.0,8.94612024131475
945,2015年度,11-326,埼玉県,毛呂山町,219915.0,37275.0,5.899798792756539
946,2015年度,11-327,埼玉県,越生町,65721.0,11716.0,5.6095083646295665
947,2015年度,11-328,,鶴ヶ島町,,,
948,2015年度,11-329,,日高町,,,
949,2015年度,11-330,,名栗村,,,
950,2015年度,11-341,埼玉県,滑川町,167865.0,18212.0,9.21727432462113
951,2015年度,11-342,埼玉県,嵐山町,119695.0,18341.0,6.526089090016902
952,2015年度,11-343,埼玉県,小川町,178038.0,31178.0,5.7103726986978
953,2015年度,11-344,,都幾川村,,,
954,2015年度,11-345,,玉川村,,,
955,2015年度,11-346,埼玉県,川島町,170254.0,20788.0,8.190013469309218
956,2015年度,11-347,埼玉県,吉見町,103690.0,19631.0,5.281952014670674
957,2015年度,11-348,埼玉県,鳩山町,85537.0,14338.0,5.9657553354721715
958,2015年度,11-349,埼玉県,ときがわ町,70822.0,11492.0,6.162721893491124
959,2015年度,11-361,埼玉県,横瀬町,44164.0,8519.0,5.184176546543021
960,2015年度,11-362,埼玉県,皆野町,63908.0,10133.0,6.306917990723379
961,2015年度,11-363,埼玉県,長瀞町,42058.0,7324.0,5.742490442381213
962,2015年度,11-364,,吉田町,,,
963,2015年度,11-365,埼玉県,小鹿野町,74767.0,12117.0,6.170421721548238
964,2015年度,11-366,,両神村,,,
965,2015年度,11-367,,大滝村,,,
966,2015年度,11-368,,荒川村,,,
967,2015年度,11-369,埼玉県,東秩父村,4195.0,2915.0,1.4391080617495713
968,2015年度,11-381,埼玉県,美里町,102163.0,11207.0,9.115998929240654
969,2015年度,11-382,,児玉町,,,
970,2015年度,11-383,埼玉県,神川町,89873.0,13730.0,6.545739257101238
971,2015年度,11-384,,神泉村,,,
972,2015年度,11-385,埼玉県,上里町,273913.0,30565.0,8.961655488303615
973,2015年度,11-401,,大里町,,,
974,2015年度,11-402,,江南町,,,
975,2015年度,11-403,,妻沼町,,,
976,2015年度,11-405,,岡部町,,,
977,2015年度,11-406,,川本町,,,
978,2015年度,11-407,,花園町,,,
979,2015年度,11-408,埼玉県,寄居町,234812.0,34081.0,6.88982130806021
980,2015年度,11-421,,騎西町,,,
981,2015年度,11-422,,南河原村,,,
982,2015年度,11-423,,川里町,,,
983,2015年度,11-424,,北川辺町,,,
984,2015年度,11-425,,大利根町,,,
985,2015年度,11-442,埼玉県,宮代町,189555.0,33705.0,5.623943035157988
986,2015年度,11-445,,白岡町,,,
987,2015年度,11-446,,菖蒲町,,,
988,2015年度,11-461,,栗橋町,,,
989,2015年度,11-462,,鷲宮町,,,
990,2015年度,11-464,埼玉県,杉戸町,280350.0,45495.0,6.162215628090999
991,2015年度,11-465,埼玉県,松伏町,196106.0,30061.0,6.523602009247862
992,2015年度,11-466,,吉川町,,,
993,2015年度,11-468,,庄和町,,,
994,2015年度,12-100,千葉県,千葉市,7118185.0,971882.0,7.324124739423099
995,2015年度,12-201,,千葉市,,,
996,2015年度,12-202,千葉県,銚子市,497449.0,64415.0,7.722564620041916
997,2015年度,12-203,千葉県,市川市,2867634.0,481732.0,5.9527579650095905
998,2015年度,12-204,千葉県,船橋市,3880759.0,622890.0,6.2302477162901955
999,2015年度,12-205,千葉県,館山市,456922.0,47464.0,9.62670655654812
1000,2015年度,12-206,千葉県,木更津市,1182027.0,134141.0,8.811824870844857
1001,2015年度,12-207,千葉県,松戸市,3028239.0,483480.0,6.263421444527178
1002,2015年度,12-208,千葉県,野田市,1157765.0,153583.0,7.538366876542326
1003,2015年度,12-209,,佐原市,,,
1004,2015年度,12-210,千葉県,茂原市,760767.0,89688.0,8.482372223708857
1005,2015年度,12-211,千葉県,成田市,1186458.0,131190.0,9.043814315115482
1006,2015年度,12-212,千葉県,佐倉市,928847.0,172739.0,5.37717018160346
1007,2015年度,12-213,千葉県,東金市,554009.0,60652.0,9.134224757633714
1008,2015年度,12-214,,八日市場市,,,
1009,2015年度,12-215,千葉県,旭市,578969.0,66586.0,8.695056017781516
1010,2015年度,12-216,千葉県,習志野市,987378.0,167909.0,5.880435235752699
1011,2015年度,12-217,千葉県,柏市,2585447.0,413954.0,6.2457350333611945
1012,2015年度,12-218,千葉県,勝浦市,128605.0,19248.0,6.681473399833749
1013,2015年度,12-219,千葉県,市原市,2480294.0,274656.0,9.030547302807877
1014,2015年度,12-220,千葉県,流山市,881835.0,174373.0,5.057176283025468
1015,2015年度,12-221,千葉県,八千代市,1202323.0,193152.0,6.224750455599735
1016,2015年度,12-222,千葉県,我孫子市,575216.0,131606.0,4.37074297524429
1017,2015年度,12-223,千葉県,鴨川市,276985.0,33932.0,8.162943534127077
1018,2015年度,12-224,千葉県,鎌ケ谷市,949621.0,108917.0,8.71875832055602
1019,2015年度,12-225,千葉県,君津市,851297.0,86033.0,9.89500540490277
1020,2015年度,12-226,千葉県,富津市,383549.0,45601.0,8.410977829433564
1021,2015年度,12-227,千葉県,浦安市,971204.0,164024.0,5.92110910598449
1022,2015年度,12-228,千葉県,四街道市,553973.0,89245.0,6.207328141632584
1023,2015年度,12-229,千葉県,袖ケ浦市,497072.0,60952.0,8.155138469615435
1024,2015年度,12-230,千葉県,八街市,641825.0,70734.0,9.07378347046682
1025,2015年度,12-231,千葉県,印西市,569689.0,92670.0,6.14750188842128
1026,2015年度,12-232,千葉県,白井市,388959.0,61674.0,6.3066932580990365
1027,2015年度,12-233,千葉県,富里市,536500.0,49636.0,10.808687243129986
1028,2015年度,12-234,千葉県,南房総市,204613.0,39033.0,5.242051597366331
1029,2015年度,12-235,千葉県,匝瑳市,285694.0,37261.0,7.667373393091973
1030,2015年度,12-236,千葉県,香取市,581467.0,77499.0,7.5028968115717625
1031,2015年度,12-237,千葉県,山武市,346543.0,52222.0,6.6359580253532995
1032,2015年度,12-238,千葉県,いすみ市,253008.0,38594.0,6.555630408871846
1033,2015年度,12-239,千葉県,大網白里市,296943.0,49184.0,6.037390208197788
1034,2015年度,12-303,,関宿町,,,
1035,2015年度,12-305,,沼南町,,,
1036,2015年度,12-322,千葉県,酒々井町,187928.0,20955.0,8.968169887854927
1037,2015年度,12-323,,八街町,,,
1038,2015年度,12-324,,富里町,,,
1039,2015年度,12-325,,印旛村,,,
1040,2015年度,12-326,,白井町,,,
1041,2015年度,12-327,,印西町,,,
1042,2015年度,12-328,,本埜村,,,
1043,2015年度,12-329,千葉県,栄町,106687.0,21228.0,5.025767853778029
1044,2015年度,12-341,,下総町,,,
1045,2015年度,12-342,千葉県,神崎町,50046.0,6133.0,8.160117397684656
1046,2015年度,12-343,,大栄町,,,
1047,2015年度,12-344,,小見川町,,,
1048,2015年度,12-345,,山田町,,,
1049,2015年度,12-346,,栗源町,,,
1050,2015年度,12-347,千葉県,多古町,260521.0,14724.0,17.693629448519424
1051,2015年度,12-348,,干潟町,,,
1052,2015年度,12-349,千葉県,東庄町,80505.0,14152.0,5.688595251554551
1053,2015年度,12-361,,海上町,,,
1054,2015年度,12-362,,飯岡町,,,
1055,2015年度,12-381,,光町,,,
1056,2015年度,12-382,,野栄町,,,
1057,2015年度,12-402,,大網白里町,,,
1058,2015年度,12-403,千葉県,九十九里町,116322.0,16510.0,7.045548152634767
1059,2015年度,12-404,,成東町,,,
1060,2015年度,12-405,,山武町,,,
1061,2015年度,12-406,,蓮沼村,,,
1062,2015年度,12-407,,松尾町,,,
1063,2015年度,12-408,,横芝町,,,
1064,2015年度,12-409,千葉県,芝山町,99179.0,7431.0,13.346655900955456
1065,2015年度,12-410,千葉県,横芝光町,193380.0,23762.0,8.13820385489437
1066,2015年度,12-421,千葉県,一宮町,68079.0,11767.0,5.785586810571939
1067,2015年度,12-422,千葉県,睦沢町,36135.0,7222.0,5.003461644973691
1068,2015年度,12-423,千葉県,長生村,122203.0,14359.0,8.510550874016296
1069,2015年度,12-424,千葉県,白子町,77984.0,11149.0,6.994708045564624
1070,2015年度,12-426,千葉県,長柄町,44403.0,7337.0,6.051928581163963
1071,2015年度,12-427,千葉県,長南町,53450.0,8206.0,6.5135266877894225
1072,2015年度,12-441,千葉県,大多喜町,86823.0,9843.0,8.820786345626333
1073,2015年度,12-442,,夷隅町,,,
1074,2015年度,12-443,千葉県,御宿町,38672.0,7315.0,5.286671223513329
1075,2015年度,12-444,,大原町,,,
1076,2015年度,12-445,,岬町,,,
1077,2015年度,12-461,,富浦町,,,
1078,2015年度,12-462,,富山町,,,
1079,2015年度,12-463,千葉県,鋸南町,64258.0,8022.0,8.010221889803042
1080,2015年度,12-464,,三芳村,,,
1081,2015年度,12-465,,白浜町,,,
1082,2015年度,12-466,,千倉町,,,
1083,2015年度,12-467,,丸山町,,,
1084,2015年度,12-468,,和田町,,,
1085,2015年度,12-472,,天津小湊町,,,
1086,2015年度,12-481,,袖ケ浦町,,,
1087,2015年度,13-101,東京都,千代田区,3957338.0,58406.0,67.75567578673424
1088,2015年度,13-102,東京都,中央区,3135387.0,141183.0,22.207964131658912
1089,2015年度,13-103,東京都,港区,6432382.0,243283.0,26.43991565378592
1090,2015年度,13-104,東京都,新宿区,5349678.0,333560.0,16.03812807291042
1091,2015年度,13-105,東京都,文京区,1209196.0,219724.0,5.503249531230089
1092,2015年度,13-106,東京都,台東区,3569009.0,198073.0,18.01865473840453
1093,2015年度,13-107,東京都,墨田区,2331024.0,256274.0,9.095827122532913
1094,2015年度,13-108,東京都,江東区,4139804.0,498109.0,8.311040354621177
1095,2015年度,13-109,東京都,品川区,3521551.0,386855.0,9.103025681456877
1096,2015年度,13-110,東京都,目黒区,2934056.0,277622.0,10.568528430743962
1097,2015年度,13-111,東京都,大田区,5394274.0,717082.0,7.5225343823997814
1098,2015年度,13-112,東京都,世田谷区,4661502.0,903346.0,5.160261959426399
1099,2015年度,13-113,東京都,渋谷区,3828668.0,224533.0,17.051693960353266
1100,2015年度,13-114,東京都,中野区,2118108.0,328215.0,6.453416205840684
1101,2015年度,13-115,東京都,杉並区,2994615.0,563997.0,5.309629306538865
1102,2015年度,13-116,東京都,豊島区,3535425.0,291167.0,12.142258566389735
1103,2015年度,13-117,東京都,北区,2293613.0,341076.0,6.724639083371448
1104,2015年度,13-118,東京都,荒川区,1515165.0,212264.0,7.138115742660084
1105,2015年度,13-119,東京都,板橋区,3768010.0,561916.0,6.705646395546665
1106,2015年度,13-120,東京都,練馬区,3749109.0,721722.0,5.1946719096826754
1107,2015年度,13-121,東京都,足立区,5250682.0,670122.0,7.835412059296665
1108,2015年度,13-122,東京都,葛飾区,3391332.0,442913.0,7.656880696660518
1109,2015年度,13-123,東京都,江戸川区,4951118.0,681298.0,7.267184110330575
1110,2015年度,13-201,東京都,八王子市,3561001.0,577513.0,6.166096693927236
1111,2015年度,13-202,東京都,立川市,1402587.0,176295.0,7.955909129583936
1112,2015年度,13-203,東京都,武蔵野市,995459.0,144730.0,6.878041871070269
1113,2015年度,13-204,東京都,三鷹市,852089.0,186936.0,4.55818568921984
1114,2015年度,13-205,東京都,青梅市,915775.0,137381.0,6.665950895684265
1115,2015年度,13-206,東京都,府中市,1504396.0,260274.0,5.7800471810476655
1116,2015年度,13-207,東京都,昭島市,838043.0,111539.0,7.513452693676651
1117,2015年度,13-208,東京都,調布市,1353091.0,229061.0,5.907120810613766
1118,2015年度,13-209,東京都,町田市,2395765.0,432348.0,5.541288499079445
1119,2015年度,13-210,東京都,小金井市,533383.0,121396.0,4.393744439684998
1120,2015年度,13-211,東京都,小平市,890066.0,190005.0,4.684434620141575
1121,2015年度,13-212,東京都,日野市,900503.0,186283.0,4.834058931840264
1122,2015年度,13-213,東京都,東村山市,742862.0,149956.0,4.953866467497132
1123,2015年度,13-214,東京都,国分寺市,838997.0,122742.0,6.835451597660133
1124,2015年度,13-215,東京都,国立市,432974.0,73655.0,5.878406082411241
1125,2015年度,13-216,,田無市,,,
1126,2015年度,13-217,,保谷市,,,
1127,2015年度,13-218,東京都,福生市,443850.0,58395.0,7.60082198818392
1128,2015年度,13-219,東京都,狛江市,363483.0,80249.0,4.529439619185286
1129,2015年度,13-220,東京都,東大和市,563759.0,85157.0,6.620230867691441
1130,2015年度,13-221,東京都,清瀬市,398323.0,74864.0,5.320621393460141
1131,2015年度,13-222,東京都,東久留米市,630938.0,116632.0,5.409647438095892
1132,2015年度,13-223,東京都,武蔵村山市,524546.0,71229.0,7.364219629645229
1133,2015年度,13-224,東京都,多摩市,877788.0,146631.0,5.986373959121877
1134,2015年度,13-225,東京都,稲城市,457672.0,87636.0,5.222420010041535
1135,2015年度,13-226,,秋川市,,,
1136,2015年度,13-227,東京都,羽村市,483889.0,55833.0,8.666720398330737
1137,2015年度,13-228,東京都,あきる野市,445586.0,80954.0,5.504187563307557
1138,2015年度,13-229,東京都,西東京市,1022623.0,200012.0,5.11280823150611
1139,2015年度,13-302,,羽村町,,,
1140,2015年度,13-303,東京都,瑞穂町,423234.0,33445.0,12.654626999551503
1141,2015年度,13-305,東京都,日の出町,117322.0,17446.0,6.72486529863579
1142,2015年度,13-306,,五日市町,,,
1143,2015年度,13-307,東京都,檜原村,3984.0,2209.0,1.803531009506564
1144,2015年度,13-308,東京都,奥多摩町,23677.0,5234.0,4.523691249522354
1145,2015年度,13-361,東京都,大島町,77663.0,7884.0,9.850710299340436
1146,2015年度,13-362,東京都,利島村,2948.0,337.0,8.747774480712167
1147,2015年度,13-363,東京都,新島村,28827.0,2749.0,10.486358675882139
1148,2015年度,13-364,東京都,神津島村,18654.0,1891.0,9.864621893178212
1149,2015年度,13-381,東京都,三宅村,33842.0,2482.0,13.634971796937954
1150,2015年度,13-382,東京都,御蔵島村,3409.0,335.0,10.176119402985075
1151,2015年度,13-401,東京都,八丈町,87534.0,7613.0,11.49796400893209
1152,2015年度,13-402,東京都,青ヶ島村,2798.0,178.0,15.719101123595506
1153,2015年度,13-421,東京都,小笠原村,24712.0,3022.0,8.177365982792852
1154,2015年度,14-100,神奈川県,横浜市,23244914.0,3724844.0,6.240506716522893
1155,2015年度,14-130,神奈川県,川崎市,9657244.0,1475213.0,6.546338732101737
1156,2015年度,14-150,神奈川県,相模原市,4665479.0,720780.0,6.472819723077777
1157,2015年度,14-201,神奈川県,横須賀市,2904025.0,406586.0,7.142461865386413
1158,2015年度,14-203,神奈川県,平塚市,1938652.0,258227.0,7.507549559108846
1159,2015年度,14-204,神奈川県,鎌倉市,861057.0,173019.0,4.976661522722938
1160,2015年度,14-205,神奈川県,藤沢市,2562374.0,423894.0,6.044846117189675
1161,2015年度,14-206,神奈川県,小田原市,1400007.0,194086.0,7.213333264635264
1162,2015年度,14-207,神奈川県,茅ヶ崎市,1114569.0,239348.0,4.656688169527215
1163,2015年度,14-208,神奈川県,逗子市,255357.0,57425.0,4.446791467131041
1164,2015年度,14-209,,相模原市,,,
1165,2015年度,14-210,神奈川県,三浦市,321669.0,45289.0,7.102585616816445
1166,2015年度,14-211,神奈川県,秦野市,1070690.0,167378.0,6.396838294160523
1167,2015年度,14-212,神奈川県,厚木市,1987069.0,225714.0,8.803481396811895
1168,2015年度,14-213,神奈川県,大和市,1858747.0,232922.0,7.980126394243567
1169,2015年度,14-214,神奈川県,伊勢原市,673042.0,101514.0,6.630041176586481
1170,2015年度,14-215,神奈川県,海老名市,870722.0,130190.0,6.688086642599278
1171,2015年度,14-216,神奈川県,座間市,727181.0,128737.0,5.648578108857594
1172,2015年度,14-217,神奈川県,南足柄市,279042.0,43306.0,6.443495127695932
1173,2015年度,14-218,神奈川県,綾瀬市,605479.0,84460.0,7.168825479516931
1174,2015年度,14-301,神奈川県,葉山町,138423.0,32096.0,4.312780408773679
1175,2015年度,14-321,神奈川県,寒川町,389036.0,47936.0,8.115737650200266
1176,2015年度,14-341,神奈川県,大磯町,150513.0,31550.0,4.770618066561014
1177,2015年度,14-342,神奈川県,二宮町,142178.0,28378.0,5.010148706744661
1178,2015年度,14-361,神奈川県,中井町,108483.0,9679.0,11.208079347039984
1179,2015年度,14-362,神奈川県,大井町,127384.0,17033.0,7.478659073563083
1180,2015年度,14-363,神奈川県,松田町,57970.0,11171.0,5.189329513919971
1181,2015年度,14-364,神奈川県,山北町,48880.0,10724.0,4.558000745990302
1182,2015年度,14-366,神奈川県,開成町,122151.0,17013.0,7.179862458120261
1183,2015年度,14-382,神奈川県,箱根町,165261.0,11786.0,14.021805531987104
1184,2015年度,14-383,神奈川県,真鶴町,49701.0,7333.0,6.7777171689622255
1185,2015年度,14-384,神奈川県,湯河原町,236785.0,25026.0,9.461559977623272
1186,2015年度,14-401,神奈川県,愛川町,342543.0,40343.0,8.490766675755397
1187,2015年度,14-402,神奈川県,清川村,9600.0,3214.0,2.9869321717485997
1188,2015年度,14-421,,城山町,,,
1189,2015年度,14-422,,津久井町,,,
1190,2015年度,14-423,,相模湖町,,,
1191,2015年度,14-424,,藤野町,,,
1192,2015年度,15-100,新潟県,新潟市,5700314.0,810157.0,7.036060911650458
1193,2015年度,15-201,,新潟市,,,
1194,2015年度,15-202,新潟県,長岡市,1812978.0,275133.0,6.589460370075564
1195,2015年度,15-204,新潟県,三条市,751601.0,99192.0,7.577234051133156
1196,2015年度,15-205,新潟県,柏崎市,600232.0,86833.0,6.912487188050626
1197,2015年度,15-206,新潟県,新発田市,722736.0,98611.0,7.329162061027675
1198,2015年度,15-207,,新津市,,,
1199,2015年度,15-208,新潟県,小千谷市,241266.0,36498.0,6.6103896103896105
1200,2015年度,15-209,新潟県,加茂市,162650.0,27852.0,5.839796064914548
1201,2015年度,15-210,新潟県,十日町市,362171.0,54917.0,6.59487954549593
1202,2015年度,15-211,新潟県,見附市,238614.0,40608.0,5.876034278959811
1203,2015年度,15-212,新潟県,村上市,433572.0,62442.0,6.943595656769482
1204,2015年度,15-213,新潟県,燕市,576747.0,79784.0,7.228855409605936
1205,2015年度,15-215,,栃尾市,,,
1206,2015年度,15-216,新潟県,糸魚川市,311999.0,44162.0,7.064874779221956
1207,2015年度,15-217,新潟県,妙高市,232939.0,33199.0,7.0164462785023645
