,5位数字ID,地点或企业,都道府县,市町村或企业,水量,硝酸盐浓度,Na浓度,Cl浓度,硬度,蒸发残留物,TOC
33,07-073,福島県双葉地方水道企業団,福島県,広野町,1185.0,0.38232067510548523,5.74717299578059,3.3745147679324896,19.39746835443038,47.2042194092827,0.36717299578059076
33,07-073,福島県双葉地方水道企業団,福島県,楢葉町,1185.0,0.38232067510548523,5.74717299578059,3.3745147679324896,19.39746835443038,47.2042194092827,0.36717299578059076
33,07-073,福島県双葉地方水道企業団,福島県,富岡町,1185.0,0.38232067510548523,5.74717299578059,3.3745147679324896,19.39746835443038,47.2042194092827,0.36717299578059076
33,07-073,福島県双葉地方水道企業団,福島県,大熊町,1185.0,0.38232067510548523,5.74717299578059,3.3745147679324896,19.39746835443038,47.2042194092827,0.36717299578059076
33,07-073,福島県双葉地方水道企業団,福島県,双葉町,1185.0,0.38232067510548523,5.74717299578059,3.3745147679324896,19.39746835443038,47.2042194092827,0.36717299578059076
34,07-071,福島県相馬地方広域水道企業団,福島県,相馬市,5600.0,1.0485017857142858,6.071749999999999,5.544821428571429,47.19696428571429,75.94660714285715,0.6302321428571429
34,07-071,福島県相馬地方広域水道企業団,福島県,新地町,5600.0,1.0485017857142858,6.071749999999999,5.544821428571429,47.19696428571429,75.94660714285715,0.6302321428571429
34,07-071,福島県相馬地方広域水道企業団,福島県,南相馬市（鹿島区）,5600.0,1.0485017857142858,6.071749999999999,5.544821428571429,47.19696428571429,75.94660714285715,0.6302321428571429
39,20-037,長野県佐久水道企業団,長野県,東御市,34132.0,0.34540724247040894,9.866963553263798,6.960266026016642,63.63198757763975,139.43182350873082,0.322202039142154
39,20-037,長野県佐久水道企業団,長野県,佐久市,34132.0,0.34540724247040894,9.866963553263798,6.960266026016642,63.63198757763975,139.43182350873082,0.322202039142154
39,20-037,長野県佐久水道企業団,長野県,佐久穂町,34132.0,0.34540724247040894,9.866963553263798,6.960266026016642,63.63198757763975,139.43182350873082,0.322202039142154
39,20-037,長野県佐久水道企業団,長野県,御代田町,34132.0,0.34540724247040894,9.866963553263798,6.960266026016642,63.63198757763975,139.43182350873082,0.322202039142154
43,02-051,青森県八戸圏域水道企業団,青森県,八戸市,7636.0,4.53,17.2,20.1,152.0,259.0,0.2
43,02-051,青森県八戸圏域水道企業団,青森県,七戸町,7636.0,4.53,17.2,20.1,152.0,259.0,0.2
43,02-051,青森県八戸圏域水道企業団,青森県,六戸町,7636.0,4.53,17.2,20.1,152.0,259.0,0.2
43,02-051,青森県八戸圏域水道企業団,青森県,三戸町,7636.0,4.53,17.2,20.1,152.0,259.0,0.2
43,02-051,青森県八戸圏域水道企業団,青森県,五戸町,7636.0,4.53,17.2,20.1,152.0,259.0,0.2
43,02-051,青森県八戸圏域水道企業団,青森県,おいらせ町,7636.0,4.53,17.2,20.1,152.0,259.0,0.2
43,02-051,青森県八戸圏域水道企業団,青森県,南部町,7636.0,4.53,17.2,20.1,152.0,259.0,0.2
44,02-053,青森県津軽広域水道企業団(西,青森県,弘前市,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
44,02-053,青森県津軽広域水道企業団(西,青森県,黒石市,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
44,02-053,青森県津軽広域水道企業団(西,青森県,五所川原市,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
44,02-053,青森県津軽広域水道企業団(西,青森県,つがる市,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
44,02-053,青森県津軽広域水道企業団(西,青森県,藤崎町,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
44,02-053,青森県津軽広域水道企業団(西,青森県,田舎館村,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
44,02-053,青森県津軽広域水道企業団(西,青森県,板柳町,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
44,02-053,青森県津軽広域水道企業団(西,青森県,鶴田町,4204.0,0.6002759276879163,23.39498097050428,34.10178401522359,118.61037107516651,183.70337773549002,1.1017602283539487
47,22-013,静岡県大井上水道企業団,静岡県,島田市,9035.0,2.2867183176535693,7.972905368013281,4.246286662977311,68.59446596568898,113.36646375207526,0.3
47,22-013,静岡県大井上水道企業団,静岡県,牧之原市,9035.0,2.2867183176535693,7.972905368013281,4.246286662977311,68.59446596568898,113.36646375207526,0.3

