,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
2777,2010年度,18-210,福井県,坂井市,91900,44235.0,47665.0
2778,2010年度,18-322,福井県,永平寺町,20647,10026.0,10621.0
2779,2010年度,18-382,福井県,池田町,3046,1449.0,1597.0
2780,2010年度,18-404,福井県,南越前町,11551,5501.0,6050.0
2781,2010年度,18-423,福井県,越前町,23160,11036.0,12124.0
2782,2010年度,18-442,福井県,美浜町,10563,5292.0,5271.0
2783,2010年度,18-481,福井県,高浜町,11062,5521.0,5541.0
2784,2010年度,18-483,福井県,おおい町,8580,4280.0,4300.0
2785,2010年度,18-501,福井県,若狭町,16099,7781.0,8318.0
2786,2010年度,19-201,山梨県,甲府市,198992,97754.0,101238.0
2787,2010年度,19-202,山梨県,富士吉田市,50619,24728.0,25891.0
2788,2010年度,19-204,山梨県,都留市,33588,16117.0,17471.0
2789,2010年度,19-205,山梨県,山梨市,36832,17673.0,19159.0
2790,2010年度,19-206,山梨県,大月市,28120,13639.0,14481.0
2791,2010年度,19-207,山梨県,韮崎市,32477,16179.0,16298.0
2792,2010年度,19-208,山梨県,南アルプス市,72635,35708.0,36927.0
2793,2010年度,19-209,山梨県,北杜市,46968,22830.0,24138.0
2794,2010年度,19-210,山梨県,甲斐市,73807,36470.0,37337.0
2795,2010年度,19-211,山梨県,笛吹市,70529,33934.0,36595.0
2796,2010年度,19-212,山梨県,上野原市,27114,13539.0,13575.0
2797,2010年度,19-213,山梨県,甲州市,33927,16270.0,17657.0
2798,2010年度,19-214,山梨県,中央市,31322,15615.0,15707.0
2799,2010年度,19-346,山梨県,市川三郷町,17111,8300.0,8811.0
2800,2010年度,19-364,山梨県,早川町,1246,609.0,637.0
2801,2010年度,19-365,山梨県,身延町,14462,6913.0,7549.0
2802,2010年度,19-366,山梨県,南部町,9011,4360.0,4651.0
2803,2010年度,19-368,山梨県,富士川町,16307,7856.0,8451.0
2804,2010年度,19-384,山梨県,昭和町,17653,9007.0,8646.0
2805,2010年度,19-422,山梨県,道志村,1919,956.0,963.0
2806,2010年度,19-423,山梨県,西桂町,4541,2185.0,2356.0
2807,2010年度,19-424,山梨県,忍野村,8635,4627.0,4008.0
2808,2010年度,19-425,山梨県,山中湖村,5324,2608.0,2716.0
2809,2010年度,19-429,山梨県,鳴沢村,2964,1429.0,1535.0
2810,2010年度,19-430,山梨県,富士河口湖町,25471,12494.0,12977.0
2811,2010年度,19-442,山梨県,小菅村,816,387.0,429.0
2812,2010年度,19-443,山梨県,丹波山村,685,339.0,346.0
2813,2010年度,20-201,長野県,長野市,381511,184128.0,197383.0
2814,2010年度,20-202,長野県,松本市,243037,119271.0,123766.0
2815,2010年度,20-203,長野県,上田市,159597,77589.0,82008.0
2816,2010年度,20-204,長野県,岡谷市,52841,25625.0,27216.0
2817,2010年度,20-205,長野県,飯田市,105335,50105.0,55230.0
2818,2010年度,20-206,長野県,諏訪市,51200,25021.0,26179.0
2819,2010年度,20-207,長野県,須坂市,52168,25466.0,26702.0
2820,2010年度,20-208,長野県,小諸市,43997,21463.0,22534.0
2821,2010年度,20-209,長野県,伊那市,71093,34674.0,36419.0
2822,2010年度,20-210,長野県,駒ヶ根市,33693,16445.0,17248.0
2823,2010年度,20-211,長野県,中野市,45638,22077.0,23561.0
2824,2010年度,20-212,長野県,大町市,29801,14429.0,15372.0
2825,2010年度,20-213,長野県,飯山市,23545,11324.0,12221.0
2826,2010年度,20-214,長野県,茅野市,56391,28067.0,28324.0
2827,2010年度,20-215,長野県,塩尻市,67670,33533.0,34137.0
2828,2010年度,20-217,長野県,佐久市,100552,49090.0,51462.0
2829,2010年度,20-218,長野県,千曲市,62068,29856.0,32212.0
2830,2010年度,20-219,長野県,東御市,30696,15030.0,15666.0
2831,2010年度,20-220,長野県,安曇野市,96479,46531.0,49948.0
2832,2010年度,20-303,長野県,小海町,5180,2487.0,2693.0
2833,2010年度,20-304,長野県,川上村,4972,2945.0,2027.0
2834,2010年度,20-305,長野県,南牧村,3528,1921.0,1607.0
2835,2010年度,20-306,長野県,南相木村,1121,542.0,579.0
2836,2010年度,20-307,長野県,北相木村,842,404.0,438.0
2837,2010年度,20-309,長野県,佐久穂町,12069,5845.0,6224.0
2838,2010年度,20-321,長野県,軽井沢町,19018,9145.0,9873.0
2839,2010年度,20-323,長野県,御代田町,14738,7304.0,7434.0
2840,2010年度,20-324,長野県,立科町,7707,3764.0,3943.0
2841,2010年度,20-349,長野県,青木村,4609,2218.0,2391.0
2842,2010年度,20-350,長野県,長和町,6780,3316.0,3464.0
2843,2010年度,20-361,長野県,下諏訪町,21532,10395.0,11137.0
2844,2010年度,20-362,長野県,富士見町,15338,7550.0,7788.0
2845,2010年度,20-363,長野県,原村,7573,3712.0,3861.0
2846,2010年度,20-382,長野県,辰野町,20909,10166.0,10743.0
2847,2010年度,20-383,長野県,箕輪町,26214,13077.0,13137.0
2848,2010年度,20-384,長野県,飯島町,9902,4783.0,5119.0
2849,2010年度,20-385,長野県,南箕輪村,14543,7267.0,7276.0
2850,2010年度,20-386,長野県,中川村,5074,2433.0,2641.0
2851,2010年度,20-388,長野県,宮田村,8974,4357.0,4617.0
2852,2010年度,20-402,長野県,松川町,13676,6566.0,7110.0
2853,2010年度,20-403,長野県,高森町,13216,6325.0,6891.0
2854,2010年度,20-404,長野県,阿南町,5455,2576.0,2879.0
2855,2010年度,20-407,長野県,阿智村,7036,3345.0,3691.0
2856,2010年度,20-409,長野県,平谷村,563,268.0,295.0
2857,2010年度,20-410,長野県,根羽村,1129,557.0,572.0
2858,2010年度,20-411,長野県,下條村,4200,2014.0,2186.0
2859,2010年度,20-412,長野県,売木村,656,305.0,351.0
2860,2010年度,20-413,長野県,天龍村,1657,764.0,893.0
2861,2010年度,20-414,長野県,泰阜村,1910,904.0,1006.0
2862,2010年度,20-415,長野県,喬木村,6692,3250.0,3442.0
2863,2010年度,20-416,長野県,豊丘村,6819,3301.0,3518.0
2864,2010年度,20-417,長野県,大鹿村,1160,559.0,601.0
2865,2010年度,20-422,長野県,上松町,5245,2531.0,2714.0
2866,2010年度,20-423,長野県,南木曽町,4810,2272.0,2538.0
2867,2010年度,20-425,長野県,木祖村,3134,1448.0,1686.0
2868,2010年度,20-429,長野県,王滝村,965,445.0,520.0
2869,2010年度,20-430,長野県,大桑村,4145,1976.0,2169.0
2870,2010年度,20-432,長野県,木曽町,12743,6183.0,6560.0
2871,2010年度,20-446,長野県,麻績村,2970,1362.0,1608.0
2872,2010年度,20-448,長野県,生坂村,1953,949.0,1004.0
2873,2010年度,20-450,長野県,山形村,8425,4147.0,4278.0
2874,2010年度,20-451,長野県,朝日村,4741,2298.0,2443.0
2875,2010年度,20-452,長野県,筑北村,5172,2497.0,2675.0
2876,2010年度,20-481,長野県,池田町,10329,4943.0,5386.0
2877,2010年度,20-482,長野県,松川村,10093,4828.0,5265.0
2878,2010年度,20-485,長野県,白馬村,9205,4522.0,4683.0
2879,2010年度,20-486,長野県,小谷村,3221,1607.0,1614.0
2880,2010年度,20-521,長野県,坂城町,15730,7687.0,8043.0
2881,2010年度,20-541,長野県,小布施町,11072,5288.0,5784.0
2882,2010年度,20-543,長野県,高山村,7563,3702.0,3861.0
2883,2010年度,20-561,長野県,山ノ内町,13678,6560.0,7118.0
2884,2010年度,20-562,長野県,木島平村,4939,2345.0,2594.0
2885,2010年度,20-563,長野県,野沢温泉村,3853,1813.0,2040.0
2886,2010年度,20-583,長野県,信濃町,9238,4452.0,4786.0
2887,2010年度,20-588,長野県,小川村,3041,1471.0,1570.0
2888,2010年度,20-590,長野県,飯綱町,11865,5715.0,6150.0
2889,2010年度,20-602,長野県,栄村,2215,1048.0,1167.0
2890,2010年度,21-201,岐阜県,岐阜市,413136,196525.0,216611.0
2891,2010年度,21-202,岐阜県,大垣市,161160,78282.0,82878.0
2892,2010年度,21-203,岐阜県,高山市,92747,44196.0,48551.0
2893,2010年度,21-204,岐阜県,多治見市,112595,54342.0,58253.0
2894,2010年度,21-205,岐阜県,関市,91418,44592.0,46826.0
2895,2010年度,21-206,岐阜県,中津川市,80910,39145.0,41765.0
2896,2010年度,21-207,岐阜県,美濃市,22629,10865.0,11764.0
2897,2010年度,21-208,岐阜県,瑞浪市,40387,19383.0,21004.0
2898,2010年度,21-209,岐阜県,羽島市,67197,32777.0,34420.0
2899,2010年度,21-210,岐阜県,恵那市,53718,25944.0,27774.0
2900,2010年度,21-211,岐阜県,美濃加茂市,54729,27037.0,27692.0
2901,2010年度,21-212,岐阜県,土岐市,60475,29041.0,31434.0
2902,2010年度,21-213,岐阜県,各務原市,145604,71516.0,74088.0
2903,2010年度,21-214,岐阜県,可児市,97436,47848.0,49588.0
2904,2010年度,21-215,岐阜県,山県市,29629,14249.0,15380.0
2905,2010年度,21-216,岐阜県,瑞穂市,51950,25919.0,26031.0
2906,2010年度,21-217,岐阜県,飛騨市,26732,12803.0,13929.0
2907,2010年度,21-218,岐阜県,本巣市,35047,16947.0,18100.0
2908,2010年度,21-219,岐阜県,郡上市,44491,21417.0,23074.0
2909,2010年度,21-220,岐阜県,下呂市,36314,17310.0,19004.0
2910,2010年度,21-221,岐阜県,海津市,37941,18497.0,19444.0
2911,2010年度,21-302,岐阜県,岐南町,23804,11689.0,12115.0
2912,2010年度,21-303,岐阜県,笠松町,22809,10577.0,12232.0
2913,2010年度,21-341,岐阜県,養老町,31332,15254.0,16078.0
2914,2010年度,21-361,岐阜県,垂井町,28505,13820.0,14685.0
2915,2010年度,21-362,岐阜県,関ケ原町,8096,3952.0,4144.0
2916,2010年度,21-381,岐阜県,神戸町,20065,9865.0,10200.0
2917,2010年度,21-382,岐阜県,輪之内町,10028,4918.0,5110.0
2918,2010年度,21-383,岐阜県,安八町,15271,7650.0,7621.0
2919,2010年度,21-401,岐阜県,揖斐川町,23784,11381.0,12403.0
2920,2010年度,21-403,岐阜県,大野町,23859,11636.0,12223.0
2921,2010年度,21-404,岐阜県,池田町,24980,12131.0,12849.0
2922,2010年度,21-421,岐阜県,北方町,18395,8839.0,9556.0
2923,2010年度,21-501,岐阜県,坂祝町,8361,4390.0,3971.0
2924,2010年度,21-502,岐阜県,富加町,5516,2658.0,2858.0
2925,2010年度,21-503,岐阜県,川辺町,10593,5163.0,5430.0
2926,2010年度,21-504,岐阜県,七宗町,4484,2129.0,2355.0
2927,2010年度,21-505,岐阜県,八百津町,12045,5791.0,6254.0
2928,2010年度,21-506,岐阜県,白川町,9530,4511.0,5019.0
2929,2010年度,21-507,岐阜県,東白川村,2514,1185.0,1329.0
2930,2010年度,21-521,岐阜県,御嵩町,18824,9229.0,9595.0
2931,2010年度,21-604,岐阜県,白川村,1733,844.0,889.0
2932,2010年度,22-100,静岡県,静岡市,716197,348609.0,367588.0
2936,2010年度,22-130,静岡県,浜松市,800866,397146.0,403720.0
2944,2010年度,22-203,静岡県,沼津市,202304,99184.0,103120.0
2945,2010年度,22-205,静岡県,熱海市,39611,17718.0,21893.0
2946,2010年度,22-206,静岡県,三島市,111838,54911.0,56927.0
2947,2010年度,22-207,静岡県,富士宮市,132001,64909.0,67092.0
2948,2010年度,22-208,静岡県,伊東市,71437,33279.0,38158.0
2949,2010年度,22-209,静岡県,島田市,100276,48876.0,51400.0
2950,2010年度,22-210,静岡県,富士市,254027,125240.0,128787.0
2951,2010年度,22-211,静岡県,磐田市,168625,84716.0,83909.0
2952,2010年度,22-212,静岡県,焼津市,143249,69901.0,73348.0
2953,2010年度,22-213,静岡県,掛川市,116363,57921.0,58442.0
2954,2010年度,22-214,静岡県,藤枝市,142151,69484.0,72667.0
2955,2010年度,22-215,静岡県,御殿場市,89030,45694.0,43336.0
2956,2010年度,22-216,静岡県,袋井市,84846,42867.0,41979.0
2957,2010年度,22-219,静岡県,下田市,25013,12002.0,13011.0
2958,2010年度,22-220,静岡県,裾野市,54546,28163.0,26383.0
2959,2010年度,22-221,静岡県,湖西市,60107,30709.0,29398.0
2960,2010年度,22-222,静岡県,伊豆市,34202,16257.0,17945.0
2961,2010年度,22-223,静岡県,御前崎市,34700,17583.0,17117.0
2962,2010年度,22-224,静岡県,菊川市,47041,23659.0,23382.0
2963,2010年度,22-225,静岡県,伊豆の国市,49269,23506.0,25763.0
2964,2010年度,22-226,静岡県,牧之原市,49019,24048.0,24971.0
2965,2010年度,22-301,静岡県,東伊豆町,14064,6615.0,7449.0
2966,2010年度,22-302,静岡県,河津町,7998,3789.0,4209.0
2967,2010年度,22-304,静岡県,南伊豆町,9516,4543.0,4973.0
2968,2010年度,22-305,静岡県,松崎町,7653,3590.0,4063.0
2969,2010年度,22-306,静岡県,西伊豆町,9469,4441.0,5028.0
2970,2010年度,22-325,静岡県,函南町,38571,18736.0,19835.0
2971,2010年度,22-341,静岡県,清水町,32302,15754.0,16548.0
2972,2010年度,22-342,静岡県,長泉町,40763,20665.0,20098.0
2973,2010年度,22-344,静岡県,小山町,20629,10908.0,9721.0
2974,2010年度,22-424,静岡県,吉田町,29815,14954.0,14861.0
2975,2010年度,22-429,静岡県,川根本町,8074,3946.0,4128.0
2976,2010年度,22-461,静岡県,森町,19435,9629.0,9806.0
2977,2010年度,23-100,愛知県,名古屋市,2263894,1116211.0,1147683.0
2994,2010年度,23-201,愛知県,豊橋市,376665,188200.0,188465.0
2995,2010年度,23-202,愛知県,岡崎市,372357,187649.0,184708.0
2996,2010年度,23-203,愛知県,一宮市,378566,184221.0,194345.0
2997,2010年度,23-204,愛知県,瀬戸市,132224,65123.0,67101.0
2998,2010年度,23-205,愛知県,半田市,118828,59291.0,59537.0
2999,2010年度,23-206,愛知県,春日井市,305569,152765.0,152804.0
3000,2010年度,23-207,愛知県,豊川市,181928,90328.0,91600.0
3001,2010年度,23-208,愛知県,津島市,65258,31830.0,33428.0
3002,2010年度,23-209,愛知県,碧南市,72018,36670.0,35348.0
3003,2010年度,23-210,愛知県,刈谷市,145781,76598.0,69183.0
3004,2010年度,23-211,愛知県,豊田市,421487,221198.0,200289.0
3005,2010年度,23-212,愛知県,安城市,178691,91424.0,87267.0
3006,2010年度,23-213,愛知県,西尾市,165298,82868.0,82430.0
3007,2010年度,23-214,愛知県,蒲郡市,82249,40490.0,41759.0
3008,2010年度,23-215,愛知県,犬山市,75198,37454.0,37744.0
3009,2010年度,23-216,愛知県,常滑市,54858,26898.0,27960.0
3010,2010年度,23-217,愛知県,江南市,99730,48838.0,50892.0
3011,2010年度,23-219,愛知県,小牧市,147132,74161.0,72971.0
3012,2010年度,23-220,愛知県,稲沢市,136442,67394.0,69048.0
3013,2010年度,23-221,愛知県,新城市,49864,24532.0,25332.0
3014,2010年度,23-222,愛知県,東海市,107690,56305.0,51385.0
3015,2010年度,23-223,愛知県,大府市,85249,43738.0,41511.0
3016,2010年度,23-224,愛知県,知多市,84768,42453.0,42315.0
3017,2010年度,23-225,愛知県,知立市,68398,35683.0,32715.0
3018,2010年度,23-226,愛知県,尾張旭市,81140,39681.0,41459.0
3019,2010年度,23-227,愛知県,高浜市,44027,22737.0,21290.0
3020,2010年度,23-228,愛知県,岩倉市,47340,23504.0,23836.0
3021,2010年度,23-229,愛知県,豊明市,69745,35075.0,34670.0
3022,2010年度,23-230,愛知県,日進市,84237,42137.0,42100.0
3023,2010年度,23-231,愛知県,田原市,64119,32573.0,31546.0
3024,2010年度,23-232,愛知県,愛西市,64978,31703.0,33275.0
3025,2010年度,23-233,愛知県,清須市,65757,32933.0,32824.0
3026,2010年度,23-234,愛知県,北名古屋市,81571,40899.0,40672.0
3027,2010年度,23-235,愛知県,弥富市,43272,21489.0,21783.0
3028,2010年度,23-236,愛知県,みよし市,60098,32407.0,27691.0
3029,2010年度,23-237,愛知県,あま市,86714,43048.0,43666.0
3030,2010年度,23-238,愛知県,長久手市,52022,26100.0,25922.0
3031,2010年度,23-302,愛知県,東郷町,41851,21163.0,20688.0
3032,2010年度,23-342,愛知県,豊山町,14405,7335.0,7070.0
3033,2010年度,23-361,愛知県,大口町,22446,11322.0,11124.0
3034,2010年度,23-362,愛知県,扶桑町,33558,16589.0,16969.0
3035,2010年度,23-424,愛知県,大治町,29891,15179.0,14712.0
3036,2010年度,23-425,愛知県,蟹江町,36688,18220.0,18468.0
3037,2010年度,23-427,愛知県,飛島村,4525,2232.0,2293.0
3038,2010年度,23-441,愛知県,阿久比町,25466,12494.0,12972.0
3039,2010年度,23-442,愛知県,東浦町,49800,25010.0,24790.0
3040,2010年度,23-445,愛知県,南知多町,20549,9948.0,10601.0
3041,2010年度,23-446,愛知県,美浜町,25178,12328.0,12850.0
3042,2010年度,23-447,愛知県,武豊町,42408,21615.0,20793.0
3043,2010年度,23-501,愛知県,幸田町,37930,19045.0,18885.0
3044,2010年度,23-561,愛知県,設楽町,5769,2766.0,3003.0
3045,2010年度,23-562,愛知県,東栄町,3757,1727.0,2030.0
3046,2010年度,23-563,愛知県,豊根村,1336,639.0,697.0
3047,2010年度,24-201,三重県,津市,285746,138643.0,147103.0
3048,2010年度,24-202,三重県,四日市市,307766,152580.0,155186.0
3049,2010年度,24-203,三重県,伊勢市,130271,61482.0,68789.0
3050,2010年度,24-204,三重県,松阪市,168017,80960.0,87057.0
3051,2010年度,24-205,三重県,桑名市,140290,68914.0,71376.0
3052,2010年度,24-207,三重県,鈴鹿市,199293,99925.0,99368.0
3053,2010年度,24-208,三重県,名張市,80284,38438.0,41846.0
3054,2010年度,24-209,三重県,尾鷲市,20033,9353.0,10680.0
3055,2010年度,24-210,三重県,亀山市,51023,25904.0,25119.0
3056,2010年度,24-211,三重県,鳥羽市,21435,10086.0,11349.0
3057,2010年度,24-212,三重県,熊野市,19662,9255.0,10407.0
3058,2010年度,24-214,三重県,いなべ市,45684,23048.0,22636.0
3059,2010年度,24-215,三重県,志摩市,54694,25383.0,29311.0
3060,2010年度,24-216,三重県,伊賀市,97207,47158.0,50049.0
3061,2010年度,24-303,三重県,木曽岬町,6855,3430.0,3425.0
3062,2010年度,24-324,三重県,東員町,25661,12524.0,13137.0
3063,2010年度,24-341,三重県,菰野町,39978,19424.0,20554.0
3064,2010年度,24-343,三重県,朝日町,9626,4804.0,4822.0
3065,2010年度,24-344,三重県,川越町,14003,7098.0,6905.0
3066,2010年度,24-441,三重県,多気町,15438,7508.0,7930.0
3067,2010年度,24-442,三重県,明和町,22833,10865.0,11968.0
3068,2010年度,24-443,三重県,大台町,10416,4862.0,5554.0
3069,2010年度,24-461,三重県,玉城町,15297,7347.0,7950.0
3070,2010年度,24-470,三重県,度会町,8692,4158.0,4534.0
3071,2010年度,24-471,三重県,大紀町,9846,4610.0,5236.0
3072,2010年度,24-472,三重県,南伊勢町,14791,6922.0,7869.0
3073,2010年度,24-543,三重県,紀北町,18611,8829.0,9782.0
3074,2010年度,24-561,三重県,御浜町,9376,4347.0,5029.0
3075,2010年度,24-562,三重県,紀宝町,11896,5541.0,6355.0
3076,2010年度,25-201,滋賀県,大津市,337634,163250.0,174384.0
3077,2010年度,25-202,滋賀県,彦根市,112156,55173.0,56983.0
3078,2010年度,25-203,滋賀県,長浜市,124131,60973.0,63158.0
3079,2010年度,25-204,滋賀県,近江八幡市,81738,40111.0,41627.0
